feature,coefficient,p_value
const,-1.7047983994,4.26986201233e-27
grade:A,1.12051830242,1.4847044075e-34
grade:B,0.898446449401,4.53809890538e-49
grade:C,0.710639931593,3.54812776846e-36
grade:D,0.528938797596,7.55988103697e-23
grade:E,0.355916108896,1.37031914145e-13
grade:F,0.194240330992,0.00010872348788
home_ownership:OWN,0.0819318388961,4.42639067637e-05
home_ownership:MORTGAGE,0.122062026678,6.49023754422e-22
addr_state:NM_VA,0.0679191353155,0.0343279896927
addr_state:NY,0.0827242185515,0.000645324320731
addr_state:OK_TN_MO_LA_MD_NC,0.0777580362805,0.000786280812352
addr_state:CA,0.0873513082524,3.79773730954e-05
addr_state:UT_KY_AZ_NJ,0.0969943673503,9.64782405042e-05
addr_state:AR_MI_PA_OH_MN,0.15510599585,5.25497260648e-12
addr_state:RI_MA_DE_SD_IN,0.0994276720327,0.000828960212242
addr_state:GA_WA_OR,0.213429466357,1.23969458405e-15
addr_state:WI_MT,0.30434100899,2.98215767061e-10
addr_state:TX,0.229994673719,7.22470286841e-19
addr_state:IL_CT,0.288442421654,5.37197003961e-23
addr_state:KS_SC_CO_VT_AK_MS,0.32945326491,1.10144941993e-26
addr_state:WV_NH_WY_DC_ME_ID,0.520945054442,6.74357283472e-23
verification_status:Not Verified,0.0963110687699,8.13206353935e-11
verification_status:Source Verified,-0.0082508637022,0.541637147576
purpose:credit_card,0.305306503601,7.41956024267e-27
purpose:debt_consolidation,0.188337772572,6.05212069651e-13
purpose:oth__med__vacation,0.190688344903,9.3358755565e-10
purpose:major_purch__car__home_impr,0.266534559727,2.24066395652e-17
initial_list_status:w,0.0595330660065,5.17489637797e-06
term:36,0.084713454157,1.69305390302e-09
emp_length:1,0.190860255232,4.0613443758e-11
emp_length:2-4,0.22915213418,1.413732701e-16
emp_length:5-6,0.193223407007,4.86795989404e-11
emp_length:7-9,0.160412752154,2.65814969527e-08
emp_length:10,0.229205701951,1.62338852143e-17
mths_since_issue_d:<38,1.0801807586,1.69122606795e-179
mths_since_issue_d:38-39,0.885621490029,1.64788780478e-150
mths_since_issue_d:40-41,0.780758138299,2.69972071907e-123
mths_since_issue_d:42-48,0.565595160422,1.4803247509e-83
mths_since_issue_d:49-52,0.432018243817,1.4292319664e-43
mths_since_issue_d:53-64,0.182520282003,4.82964836379e-10
mths_since_issue_d:65-84,-0.0724386957681,0.0136050784105
int_rate:<9.548,0.920926416567,6.1067623803e-33
int_rate:9.548-12.025,0.579418678829,4.40287860409e-38
int_rate:12.025-15.74,0.314039127451,1.71323694293e-17
int_rate:15.74-20.281,0.108601061875,0.000187218861492
mths_since_earliest_cr_line:140-164,0.0669572685561,0.00806606404538
mths_since_earliest_cr_line:165-247,0.0351220023684,0.0868840433319
mths_since_earliest_cr_line:248-270,0.0780641174793,0.00336592417405
mths_since_earliest_cr_line:271-352,0.132858138335,2.8426487976e-08
mths_since_earliest_cr_line:>352,0.140801011717,1.85652662152e-07
inq_last_6mths:0,0.831355741906,4.58637350203e-13
inq_last_6mths:1-2,0.678586084427,3.3200816235e-09
inq_last_6mths:3-6,0.475374942729,3.70437435116e-05
acc_now_delinq:>=1,0.228525782806,0.0315979860389
annual_inc:20K-30K,-0.0875119738963,0.0414982159388
annual_inc:30K-40K,-0.0313143017706,0.449477590089
annual_inc:40K-50K,0.0745518599408,0.0717407099296
annual_inc:50K-60K,0.118809166666,0.0045309246846
annual_inc:60K-70K,0.21375256673,6.07113528573e-07
annual_inc:70K-80K,0.273064627412,4.0023316169e-10
annual_inc:80K-90K,0.350866030486,1.19486328554e-14
annual_inc:90K-100K,0.370319727199,3.17808631924e-15
annual_inc:100K-120K,0.428135239698,3.58177545468e-20
annual_inc:120K-140K,0.515064817394,1.33878893219e-22
annual_inc:>140K,0.463980363759,1.16360709094e-21
dti:<=1.4,0.297874115587,0.000800099341249
dti:1.4-3.5,0.375566029867,5.46325118455e-07
dti:3.5-7.7,0.355139869097,6.11942208647e-08
dti:7.7-10.5,0.313415046159,1.53841052939e-06
dti:10.5-16.1,0.22631312943,0.000348544417036
dti:16.1-20.3,0.136810930784,0.0307780576433
dti:20.3-21.7,0.129275996324,0.049469725787
dti:21.7-22.4,0.070986157355,0.307296859014
dti:22.4-35,0.0325435785162,0.603533604443
mths_since_last_delinq:Missing,0.12258725553,0.0213804339707
mths_since_last_delinq:4-30,0.136029255158,0.0113558768215
mths_since_last_delinq:31-56,0.186721540972,0.00060016414549
mths_since_last_delinq:>=57,0.152124616532,0.00627320467213
mths_since_last_record:Missing,0.332879608503,0.000118645938355
mths_since_last_record:3-20,0.36903912681,0.00266813454794
mths_since_last_record:21-31,0.447171251133,0.000141916980894
mths_since_last_record:32-80,0.565554059546,3.82090963143e-10
mths_since_last_record:81-86,0.225905051879,0.0341185434244
mths_since_last_record:>86,0.265592120098,0.00289811164787
