feature,original_feature,coefficient,score_final
Intercept,Intercept,-1.7047983994,312
grade:A,grade,1.12051830242,82
grade:B,grade,0.898446449401,65
grade:C,grade,0.710639931593,52
grade:D,grade,0.528938797596,39
grade:E,grade,0.355916108896,26
grade:F,grade,0.194240330992,14
home_ownership:OWN,home_ownership,0.0819318388961,6
home_ownership:MORTGAGE,home_ownership,0.122062026678,9
addr_state:NM_VA,addr_state,0.0679191353155,5
addr_state:NY,addr_state,0.0827242185515,6
addr_state:OK_TN_MO_LA_MD_NC,addr_state,0.0777580362805,6
addr_state:CA,addr_state,0.0873513082524,6
addr_state:UT_KY_AZ_NJ,addr_state,0.0969943673503,7
addr_state:AR_MI_PA_OH_MN,addr_state,0.15510599585,11
addr_state:RI_MA_DE_SD_IN,addr_state,0.0994276720327,7
addr_state:GA_WA_OR,addr_state,0.213429466357,16
addr_state:WI_MT,addr_state,0.30434100899,22
addr_state:TX,addr_state,0.229994673719,17
addr_state:IL_CT,addr_state,0.288442421654,21
addr_state:KS_SC_CO_VT_AK_MS,addr_state,0.32945326491,24
addr_state:WV_NH_WY_DC_ME_ID,addr_state,0.520945054442,38
verification_status:Not Verified,verification_status,0.0963110687699,7
verification_status:Source Verified,verification_status,-0.0082508637022,-1
purpose:credit_card,purpose,0.305306503601,22
purpose:debt_consolidation,purpose,0.188337772572,14
purpose:oth__med__vacation,purpose,0.190688344903,14
purpose:major_purch__car__home_impr,purpose,0.266534559727,19
initial_list_status:w,initial_list_status,0.0595330660065,4
term:36,term,0.084713454157,6
emp_length:1,emp_length,0.190860255232,14
emp_length:2-4,emp_length,0.22915213418,17
emp_length:5-6,emp_length,0.193223407007,14
emp_length:7-9,emp_length,0.160412752154,12
emp_length:10,emp_length,0.229205701951,17
mths_since_issue_d:<38,mths_since_issue_d,1.0801807586,78
mths_since_issue_d:38-39,mths_since_issue_d,0.885621490029,65
mths_since_issue_d:40-41,mths_since_issue_d,0.780758138299,57
mths_since_issue_d:42-48,mths_since_issue_d,0.565595160422,41
mths_since_issue_d:49-52,mths_since_issue_d,0.432018243817,31
mths_since_issue_d:53-64,mths_since_issue_d,0.182520282003,13
mths_since_issue_d:65-84,mths_since_issue_d,-0.0724386957681,-5
int_rate:<9.548,int_rate,0.920926416567,67
int_rate:9.548-12.025,int_rate,0.579418678829,42
int_rate:12.025-15.74,int_rate,0.314039127451,23
int_rate:15.74-20.281,int_rate,0.108601061875,8
mths_since_earliest_cr_line:140-164,mths_since_earliest_cr_line,0.0669572685561,5
mths_since_earliest_cr_line:165-247,mths_since_earliest_cr_line,0.0351220023684,3
mths_since_earliest_cr_line:248-270,mths_since_earliest_cr_line,0.0780641174793,6
mths_since_earliest_cr_line:271-352,mths_since_earliest_cr_line,0.132858138335,10
mths_since_earliest_cr_line:>352,mths_since_earliest_cr_line,0.140801011717,10
inq_last_6mths:0,inq_last_6mths,0.831355741906,61
inq_last_6mths:1-2,inq_last_6mths,0.678586084427,49
inq_last_6mths:3-6,inq_last_6mths,0.475374942729,35
acc_now_delinq:>=1,acc_now_delinq,0.228525782806,17
annual_inc:20K-30K,annual_inc,-0.0875119738963,-6
annual_inc:30K-40K,annual_inc,-0.0313143017706,-2
annual_inc:40K-50K,annual_inc,0.0745518599408,5
annual_inc:50K-60K,annual_inc,0.118809166666,9
annual_inc:60K-70K,annual_inc,0.21375256673,16
annual_inc:70K-80K,annual_inc,0.273064627412,20
annual_inc:80K-90K,annual_inc,0.350866030486,26
annual_inc:90K-100K,annual_inc,0.370319727199,27
annual_inc:100K-120K,annual_inc,0.428135239698,31
annual_inc:120K-140K,annual_inc,0.515064817394,38
annual_inc:>140K,annual_inc,0.463980363759,34
dti:<=1.4,dti,0.297874115587,22
dti:1.4-3.5,dti,0.375566029867,27
dti:3.5-7.7,dti,0.355139869097,26
dti:7.7-10.5,dti,0.313415046159,23
dti:10.5-16.1,dti,0.22631312943,16
dti:16.1-20.3,dti,0.136810930784,10
dti:20.3-21.7,dti,0.129275996324,9
dti:21.7-22.4,dti,0.070986157355,5
dti:22.4-35,dti,0.0325435785162,2
mths_since_last_delinq:Missing,mths_since_last_delinq,0.12258725553,9
mths_since_last_delinq:4-30,mths_since_last_delinq,0.136029255158,10
mths_since_last_delinq:31-56,mths_since_last_delinq,0.186721540972,14
mths_since_last_delinq:>=57,mths_since_last_delinq,0.152124616532,11
mths_since_last_record:Missing,mths_since_last_record,0.332879608503,24
mths_since_last_record:3-20,mths_since_last_record,0.36903912681,27
mths_since_last_record:21-31,mths_since_last_record,0.447171251133,33
mths_since_last_record:32-80,mths_since_last_record,0.565554059546,41
mths_since_last_record:81-86,mths_since_last_record,0.225905051879,16
mths_since_last_record:>86,mths_since_last_record,0.265592120098,19
grade:G,grade,0,0
home_ownership:RENT_OTHER_NONE_ANY,home_ownership,0,0
addr_state:ND_NE_IA_NV_FL_HI_AL,addr_state,0,0
verification_status:Verified,verification_status,0,0
purpose:educ__sm_b__wedd__ren_en__mov__house,purpose,0,0
initial_list_status:f,initial_list_status,0,0
term:60,term,0,0
emp_length:0,emp_length,0,0
mths_since_issue_d:>84,mths_since_issue_d,0,0
int_rate:>20.281,int_rate,0,0
mths_since_earliest_cr_line:Missing_or_<140,mths_since_earliest_cr_line,0,0
inq_last_6mths:>6,inq_last_6mths,0,0
acc_now_delinq:0,acc_now_delinq,0,0
annual_inc:<=20K,annual_inc,0,0
dti:>35,dti,0,0
mths_since_last_delinq:0-3,mths_since_last_delinq,0,0
mths_since_last_record:0-2,mths_since_last_record,0,0
